"BehaviorSpace results (NetLogo 6.0.4)"
"VIA_with_my_additions.nlogo"
"value-iteration-experiments"
"01/04/2023 12:30:35:736 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","19","0","19"
"[run number]","black-reward","num-transitions-per-experiment","gamma","red-reward","teleport-reward","num-white-patches","blue-reward","epsilon","p","num-red-patches","num-teleport-pairs","q","num-experiments","[step]","table:get u (list 0 0 0)","total-cumulative-reward / no-expers"
"80","-1","1000","0.4","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.6666666666665437","-1.6666666666666865"
"81","-1","1000","0.45","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-1.8181818181818044"
"82","-1","1000","0.45","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.4499999999999997","-1.8181818181818044"
"83","-1","1000","0.45","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.6524999999999999","-1.8181818181818044"
"84","-1","1000","0.45","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-1.7436249999999998","-1.8181818181818044"
"85","-1","1000","0.45","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-1.78463125","-1.8181818181818044"
"86","-1","1000","0.45","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-1.8030840625","-1.8181818181818044"
"87","-1","1000","0.45","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-1.811387828125","-1.8181818181818044"
"88","-1","1000","0.45","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-1.81512452265625","-1.8181818181818044"
"89","-1","1000","0.45","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-1.8181795047854754","-1.8181818181818044"
"90","-1","1000","0.45","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.8181818181815501","-1.8181818181818044"
"91","-1","1000","0.5","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-2"
"92","-1","1000","0.5","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.5","-2"
"93","-1","1000","0.5","-10","-2","20","10","20","0.8","20","3","0.7","1000","1","-1.75","-2"
"94","-1","1000","0.5","-10","-2","20","10","10","0.8","20","3","0.7","1000","1","-1.875","-2"
"95","-1","1000","0.5","-10","-2","20","10","0.8","0.8","20","3","0.7","1000","1","-1.9375","-2"
"96","-1","1000","0.5","-10","-2","20","10","0.4","0.8","20","3","0.7","1000","1","-1.96875","-2"
"97","-1","1000","0.5","-10","-2","20","10","0.1","0.8","20","3","0.7","1000","1","-1.984375","-2"
"98","-1","1000","0.5","-10","-2","20","10","0.01","0.8","20","3","0.7","1000","1","-1.99609375","-2"
"99","-1","1000","0.5","-10","-2","20","10","1.0E-5","0.8","20","3","0.7","1000","1","-1.9999980926513672","-2"
"100","-1","1000","0.5","-10","-2","20","10","1.0E-12","0.8","20","3","0.7","1000","1","-1.9999999999997726","-2"
"101","-1","1000","0.55","-10","-2","20","10","50","0.8","20","3","0.7","1000","1","-1","-2.222222222222185"
"102","-1","1000","0.55","-10","-2","20","10","30","0.8","20","3","0.7","1000","1","-1.55","-2.222222222222185"
